Numero,Angstrom,au
1,5.14925,9.73068
2,5.90523,11.15926
3,4.50856,8.51995
4,4.53506,8.57002
5,4.35347,8.22686
6,3.88056,7.3332
7,4.07749,7.70534
8,4.39889,8.3127
9,4.97989,9.41064
10,5.68084,10.73524
11,4.41473,8.34264
12,4.43564,8.38215
13,5.17195,9.77357
14,4.47071,8.44842
15,3.80208,7.1849
16,4.24046,8.0133
17,3.79629,7.17394
18,5.39077,10.18708
19,4.31512,8.1544
20,4.46067,8.42945
21,3.92307,7.41354
22,5.53214,10.45423
23,3.81361,7.20669
24,5.66382,10.70307
25,3.58922,6.78265
26,5.70299,10.77709
27,4.25685,8.04428
28,4.27583,8.08016
29,5.14304,9.71894
30,5.429,10.25932
31,3.57844,6.76228
32,5.47785,10.35164
33,5.20843,9.84251
34,5.52999,10.45018
35,4.32195,8.1673
36,5.31044,10.03528
37,4.30981,8.14435
38,5.79237,10.946
39,3.91752,7.40304
40,5.688,10.74876
41,5.69482,10.76165
42,3.60846,6.81901
43,4.22554,7.98512
44,4.22093,7.9764
45,5.20505,9.83612
46,3.94767,7.46003
47,4.96749,9.3872
48,4.12515,7.79542
49,3.782,7.14695
50,5.6797,10.73307
51,4.32694,8.17673
52,4.70962,8.89989
53,5.72123,10.81157
54,5.70762,10.78584
55,5.23984,9.90186
56,4.30465,8.13462
57,3.57366,6.75325
58,5.51153,10.41528
59,4.23129,7.99598
60,4.25181,8.03477
61,4.18126,7.90143
62,5.39099,10.18749
63,3.97812,7.51757
64,4.17725,7.89386
65,3.95003,7.46448
66,3.82266,7.22378
67,5.33477,10.08127
68,4.3729,8.26358
69,4.35006,8.22043
70,5.55497,10.49737
71,3.99941,7.55779
72,4.31698,8.15792
73,3.73439,7.05698
74,5.72703,10.82253
75,4.20182,7.94029
76,4.7153,8.91063
77,4.19246,7.92259
78,5.37207,10.15174
79,5.33993,10.09101
80,4.21044,7.95659
81,5.45484,10.30816
82,5.45211,10.30301
83,4.35171,8.22355
84,4.33286,8.18793
85,4.59233,8.67825
86,5.42503,10.25181
87,5.21378,9.85261
88,4.25569,8.04208
89,3.78601,7.15453
90,5.19533,9.81776
91,4.18516,7.9088
92,4.2393,8.01112
93,5.22601,9.87573
94,3.77067,7.12554
95,4.2896,8.10617
96,4.16852,7.87736
97,5.85429,11.06301
98,5.90353,11.15606
99,4.31536,8.15485
100,4.3355,8.19291
101,5.48246,10.36034
102,5.55068,10.48926
103,5.36347,10.13549
104,3.87095,7.31503
105,4.98689,9.42386
106,5.67557,10.72527
107,4.30292,8.13135
108,4.18193,7.90271
109,4.395,8.30536
110,5.68235,10.73808
111,3.78083,7.14473
112,4.27778,8.08383
113,5.15089,9.73377
114,5.72832,10.82496
115,4.30354,8.13251
116,4.28833,8.10377
117,5.70354,10.77812
118,5.83636,11.02913
119,3.81079,7.20135
120,5.69948,10.77046
121,4.91821,9.29407
122,5.58315,10.55062
123,4.25457,8.03997
124,4.28053,8.08904
125,5.19227,9.81196
126,5.46667,10.33052
127,3.72869,7.04621
128,5.51873,10.42889
